Main_Values,Paramater,Conditions,Symbol,Values,Min,Typ,Max,Unit,User,TimeStamp,p_number,version
IGBT ED3 1200V450A_Maximum Rated Values,Collector-emitter voltage,Tj = 25°C,VCES,1200,,,,V,可可,2024070211580100,,v0702_1
IGBT ED3 1200V450A_Maximum Rated Values,Gate-emitter peak voltage,,VGES,±20,,,,V,,,,
IGBT ED3 1200V450A_Maximum Rated Values,Continuous DC collector current,"TC = 85°C, Tj,max = 175°C",IC nom,450,,,,A,,,,
IGBT ED3 1200V450A_Maximum Rated Values,Repetitive peak collector current,"Verified by design, tp limited by Tj,max",ICRM,900,,,,A,,,,
IGBT ED3 1200V450A_Maximum Rated Values,Maximum junction temperature,,"Tj,max",175,,,,°C,,,,
IGBT ED3 1200V450A_Characteristics Values,Collector-emitter saturation voltage,"IC = 450A, VGE = 15V,Tj = 25°C","VCE,sat",,,1.75,2.1,V,花花,2024070211580100,,v0702_1
IGBT ED3 1200V450A_Characteristics Values,Collector-emitter saturation voltage,"IC = 450A, VGE = 15V,Tj = 125°C","VCE,sat",,,2,,V,花花,2024070211580100,,v0702_1
IGBT ED3 1200V450A_Characteristics Values,Collector-emitter saturation voltage,"IC = 450A, VGE = 15V,Tj = 150°C","VCE,sat",,,2.05,,V,花花,2024070211580100,,v0702_1
IGBT ED3 1200V450A_Characteristics Values,Gate threshold voltage,"IC = 17.0 mA, VCE = VGE,Tj = 25°C","VGE,th",,5.2,5.8,6.4,V,,,,
IGBT ED3 1200V450A_Characteristics Values,Collector-emitter cut-off current,"VCE = 1200V, VGE = 0V,Tj = 25°C",ICES,,,,1,mA,,,,
IGBT ED3 1200V450A_Characteristics Values,Gate-emitter leakage current,"VCE = 0V, VGE = 20V, Tj = 25°C",IGES,,,,400,nA,,,,
IGBT ED3 1200V450A_Characteristics Values,Gate charge,VGE = -15V / + 15V,Qg,,,2.45,,μC,,,,
IGBT ED3 1200V450A_Characteristics Values,Internal gate resistance,Tj = 25°C,"RG,int",,,1.8,,Ω,,,,
IGBT ED3 1200V450A_Characteristics Values,Input capacitance,"f = 100KHz, VCE = 25V, Tj = 25°C",Cies,,,37,,nF,,,,
